N,id,framerate,frames,bitrate,duration,size
0,15fr-zSdCqg,30.0,1170,5992818,39.055,29256190
1,1a5f-GbYEaM,25.0,3945,2885589,157.80167,56918844
2,1D3O-16kzhQ,30.029197999999997,8228,139791,274.541,4797322
3,1G6F-Huj2hY,30.0,3330,397112,110.966995,5508291
4,1hEL-mcI-tM,25.075658999999998,7623,134334,304.927,5120280
5,1KXW-XA6QkQ,25.0,6382,250276,255.28,7986338
6,1L6x-TgAldY,23.0,6882,508160,286.995,18229956
7,1lkF-VNDcss,29.0,13746,517364,458.625,29659524
8,1LXH-OibJYQ,25.0,1056,288705,42.2,1522924
9,1Nc0-MKuExg,30.093458000000002,3220,320011,107.443,4297868
10,1oz8-nezz50,25.0,5628,538452,225.08,15149369
11,1RGh-RmYxHY,29.0,6520,83054,217.518,2258222
12,1RMD-MxzJn8,15.0,975,236793,64.933,1921961
13,1s9d-jTKyUw,30.002232,13441,2052426,448.575,115083398
14,1tos-YhVzA4,30.0,6676,500449,222.53333999999998,13920824
15,1Vq6-f1kYeM,23.0,3050,3080852,127.22166399999999,48993895
16,1WrA-SRsgEk,29.0,11523,646432,384.45099999999996,31065203
17,1YDt-FkeZ4E,12.0,1184,55552,98.683334,685260
18,1Y-Y-RHCxRQ,29.0,5694,231296,189.956,5492026
19,1ZzJ-T2FJAw,29.0,7494,153059,250.017,4783444
20,22uE-OUUBH8,25.0,1104,272273,43.827,1491614
21,236x-T7D-8g,30.0,17438,295979,581.2330000000001,21504146
22,25TI-jx-cag,25.113636,4420,26968,176.90099999999998,596349
23,28BV-NZV3C8,23.0,7830,5999648,326.58832,244926878
24,2AfTeWTxhIg,25.032557999999998,16146,95903,645.84,7742262
25,_2al-ZI1Wss,12.0,894,55305,74.535,515272
26,2ApZ-KZ-pEk,29.0,4733,406908,157.891,8030894
27,2HTJjLLaFL0,25.0,9484,181960,379.32,8627672
28,2kFF-0kB_4w,30.0,10191,257699,339.667,10941484
29,2NO0-ve7CKM,30.007016999999998,34208,2394626,1140.349,341338789
30,2NuI-Bp5brA,29.0,2417,690041,80.536,6946645
31,2pet-NcSXvY,29.0,1109,2759449,37.011665,12766479
32,2SkA-cUEaJ0,25.0,12266,300437,490.6,18424328
33,2TXm-QHXCzU,30.062963,8117,652967,270.655,22091130
34,2tzy-vqeeLY,25.0,2669,849586,106.765,11338266
35,2u-5-Io725E,29.0,12795,1064703,426.945,56821235
36,2Y-k-006Zbs,12.0,792,51225,67.583336,432749
37,2zeL-QQa8Sk,30.0,2318,382461,77.233,3692330
38,3AYz-PCa1aI,25.0,9778,230847,391.08,11284995
39,3BVV-0I-JlM,13.0,456,279173,33.09,1154731
40,3dI-kJGuWbY,29.0,8755,480125,292.092,17530090
41,3DRy-Stwt9c,23.979221,9232,441862,385.05199999999996,21267505
42,3_fF9rtYCQ0,12.0,3074,57565,256.20833999999996,1843600
43,3fmy-4uvR9U,12.0,1716,51082,143.03333999999998,913312
44,3fpg-LlHcks,25.065932999999998,6843,1571003,273.816,53770740
45,3HVJ-p8L33A,29.0,4913,267032,163.89700000000002,5470732
46,3mWp-QQn-1M,24.0,4017,2207484,167.39166,46189307
47,3N6c-uPdNas,15.0,1050,272898,69.933,2385577
48,3o_2-igmsyo,30.0,13230,281642,440.967,15524405
49,3ODf-KYiOZw,15.0,956,972572,63.667,7740095
50,3ojsQWU7XWE,29.0,2593,356037,86.486,3849030
51,3SQY-ZB8hmI,25.0,11826,164017,473.0,9697521
52,3U8m-ETsTS4,25.0,7065,559834,282.56,19773349
53,3Wdg-dsGihA,11.0,4081,244491,340.42400000000004,10403848
54,3-Wy-Ftbd40,12.0,839,56717,69.93833000000001,495843
55,3xGu-rfcH3s,25.021739999999998,9208,29096,368.32,1339625
56,3xUU-YRicZA,25.145039,3294,104723,131.76,1724802
57,3Xyf-6FdtDA,7.0,344,54338,49.178333,334032
58,3YNh-PI2q64,25.027847,9886,1611942,395.44,79678319
59,42hr-6A1jYc,12.0,3733,56416,311.1,2193902
60,46oD-rS6PC8,29.0,2862,809256,95.462,9656655
61,4b7b-FY4JPI,29.0,6078,239336,203.19799999999998,6079081
62,4BJV-yiTcus,30.062991999999998,7636,260667,254.922,8306231
63,4Fob-eSnrb8,12.0,21227,56152,1768.9417,12416387
64,4keb-__zqyQ,5.705752400000001,2579,66680,452.689,3773200
65,4NcD-WQyXCQ,29.968605,25773,2688309,860.056,289012098
66,4PvR-Wgh9-I,12.0,1318,52008,109.87666000000002,714318
67,4sQh-_X9Z0c,25.0,3871,188221,154.8,3642094
68,4VC4-K8Qzac,29.0,4160,1154050,138.648,20000847
69,4-w4-787Zac,12.0,612,52872,51.361668,339455
70,4wOY-l6ZqWU,25.0,4732,293007,189.28,6932549
71,4WU1-TQ5J70,29.0,2183,276880,72.806,2519816
72,4x3_-C1T0cs,18.0,5896,291674,327.5,11940432
73,4xIZ-XzEMpU,25.0,8112,176715,324.44,7166697
74,4YFe-NAbaD0,30.461538,1188,236342,39.68,1172258
75,55Z6-vgeh6c,29.0,1949,455199,64.998,3698386
76,5dKn-MnjKTI,29.0,8490,247379,283.25,8758768
77,5h49-3tG_KE,30.0,11539,268321,384.6,12899562
78,5hgs-xrf2Mc,15.071895999999999,2306,62488,153.734,1200828
79,5HhM-HIARXI,29.981203000000004,7975,2045063,266.145,68035429
80,5jkH-cHwLK8,25.0,1380,506163,55.216667,3493581
81,5k3o-8kXk94,25.0,15510,294417,620.36,22830605
82,5mJR-qemN9Q,29.0,4641,231041,154.821,4471255
83,5PHW-IXHND4,29.0,9743,795239,324.748,32281531
84,5re7-qLhq48,29.0,1708,631741,56.957,4497760
85,5UoD-904J_Y,22.019479999999998,10173,8384,462.44599999999997,484680
86,5Y1s-Zq5SZ8,25.0,12728,249243,509.12,15861873
87,5Yez-p199mI,30.439394,2009,670064,66.96600000000001,5608941
88,61pa-Rc3L3A,29.0,1959,796464,65.332,6504326
89,6B-X-HefYDU,25.188406,1738,4481613,69.62,39001245
90,6dw7-YvbblY,30.069767,6465,2009995,215.99200000000002,54267871
91,6FnT-PvAhak,29.0,1425,503384,47.513999999999996,2989728
92,6FvB-3OtyJY,29.0,22238,591559,741.975,54865282
93,6GNf-f2MgVo,29.0,1225,310175,40.841,1583487
94,6Hk-oEBTtks,30.0,13392,836739,446.36699999999996,46686636
95,6hNd-552r-Q,30.10582,5690,96804,189.792,2296589
96,6jE5-y-UoM0,15.0,2038,279100,135.88166999999999,4740579
97,6Kt9-VM7rcg,30.012903,4652,966064,155.089,18728252
98,6MfG-75lVGw,30.002869,83678,2209320,2789.277,770300808
99,6OZ9-k3BSJg,29.987751,26929,1881052,898.534,211273724
