n,id,framerate,frames,bitrate,duration,size
0,N0YV-jQel4o,30.017426,22393,252062,746.5269999999999,23521430
1,n1IX-ZRhCvM,12.0,1555,55790,129.61333,903900
2,n35M-FQxQ8Y,30.25,1573,555638,52.586000000000006,3652352
3,N4Pu-Q6jGf0,18.0,2695,445657,149.72166,8340568
4,N7sA-0X2xg4,15.0,871,842917,58.0,6111152
5,n9L2-ANgM14,30.0,22612,276140,753.7,26015901
6,nAye-MlrIww,30.0,7007,267868,233.533,7819529
7,NB5G-JBQisk,25.0,13470,287241,538.76,19344282
8,nBDp-y6Ty8g,29.0,25261,5569788,842.0367,586245761
9,NcI1-T8SlwA,30.0,53765,284274,1792.1329999999998,63682295
10,ND0J-KzGS2g,25.041985,6561,65318,262.44,2142778
11,ndgN-4AX1Ic,25.064516,777,1017832,31.08,3954278
12,ndvA-7cic5s,25.0,4878,449106,195.14,10954823
13,n-dY-GzUqU8,30.0,4830,658585,160.999,13253954
14,Neio-apr54Y,25.0,13883,461221,555.28,32013396
15,nekn-yl4MGU,30.289474,1151,2047310,38.452,9840398
16,nET_-UKVSXU,12.0,1967,55020,163.93167,1127451
17,nFtD-fJQ-_0,12.0,3601,58898,300.09332,2209398
18,nfyn-pwMtIE,12.0,2767,55990,230.62,1614078
19,NgJC-vKb8BQ,30.0,1363,1152951,45.399998,6542999
20,NGW7-2e_oAo,25.0,2100,4898597,84.01,51441394
21,-NH9f-FJ9Zw,29.0,2752,800566,92.729,9279463
22,NhaH-Gvg5XI,30.0,2715,1154506,90.466995,13055587
23,NHs1-Lkx4Qs,12.0,3571,51398,297.58667,1911956
24,N-Io-NxNWXc,14.0,4224,245671,284.818,8746455
25,_N_K-cr9s6Y,25.168142,2844,2538728,113.76,36100716
26,nkS6-7ERh1o,25.0,1719,738613,68.72,6344687
27,nma2-SImgIk,25.0,972,1111721,38.84,5397407
28,NMDa-mS91e0,12.0,3367,57258,280.58832,2008267
29,nmum-07ap-M,25.0,20685,276968,827.36,28644050
30,nO0L-XlhuPA,12.0,3103,55138,260.62,1796267
31,NOju-ArKK94,12.0,3066,55692,256.5,1785644
32,NPCR-5ssUqo,29.0,17180,552969,573.207,39620735
33,nPXU-tV9cY0,29.0,3460,330742,115.415,4771578
34,N-Qc-jiKGHY,30.0,1402,516887,46.7,3017333
35,nqZs-qdDHeI,30.035587,8440,2618986,281.41700000000003,92128396
36,nr4E-1zeMNA,29.0,8602,1005072,287.02167000000003,36059687
37,NroB-3cIMu8,25.0,8055,1023914,322.2,41238157
38,NsL0-LjmRfg,29.0,25249,373639,841.605,39307056
39,NSLO-wyywm8,12.0,1063,55962,88.60667,619828
40,NThx-l2KBwM,25.0,8214,624930,328.52,25662768
41,N_TS-LoqFhM,12.0,10726,56394,893.875,6301191
42,Nua1-nxaMx0,29.0,25098,2323159,837.45,243191200
43,nuhJ-6Em-Os,25.0,10774,231840,430.92,12488063
44,nUi2-hfttvw,30.047009000000003,7031,293653,234.449,8605844
45,nUzP-iXMs_c,30.0,4657,288242,155.422,5599896
46,nvBf-GPj9P4,25.0,23486,2701257,939.455,317213739
