n,id,framerate,frames,bitrate,duration,size
0,ve5G-VikDZY,29.0,8691,331919,289.957,12030291
1,VGqW-heH3sc,30.0,2055,1053249,68.466995,9014106
2,vgSM-280gVk,29.0,7357,233553,245.44499,7165580
3,_Vh8-3af4DA,30.0,12863,269258,428.733,14430024
4,V_hb-Qks7w0,7.0,874,291371,124.714,4542260
5,VHRL-aDf-8U,29.0,5920,291034,197.497,7184801
6,viXy-v16AqE,29.0,3375,256205,112.61200000000001,3606482
7,VjWl-ckXsS8,24.998623000000002,18149,509404,726.047,46231421
8,VkeyHyIgqvY,25.0,15007,560133,600.288,42030197
9,vlMw-if6iV4,29.971428000000003,2098,28083,70.087,246037
10,VNpA-4NB0xw,12.0,1992,52390,173.12666000000002,1133782
11,Vp9R-kvuK5s,30.0,1362,272464,45.399998,1546235
12,VqEK-IOxmBM,29.0,4680,272402,156.123,5316029
13,vqHY-B3S12c,29.0,11847,3020455,395.30667,149250790
14,VQIi-ESdvtw,12.0,719,54636,59.953334999999996,409456
15,VSjn-ysgVd4,29.0,2037,2549666,67.96833000000001,21662070
16,VsoC-5dulSs,25.0,6318,265278,252.68,8378822
17,VuIM-te1sgg,30.0,1150,2134168,38.335,10226670
18,vUkP-Rh-ELA,30.0,1162,1122875,38.7,5431908
19,vUM0-3bPRd0,29.0,4317,488579,143.871,8786556
20,VvdFsKCDAxY,29.985533,16582,264887,553.286,18319851
21,vvKZ-1e5eHA,29.0,2700,219091,90.057,2466338
22,Vw5m-L7rpi8,29.730942,6630,1384178,223.503,38670999
23,VxU1-3WfWc8,15.06,3012,208941,200.8,5244430
24,vY-V2givIiE,25.0,9001,1005182,360.04834,45239304
25,vYYm-xgnPy0,12.0,891,51745,74.25667,480306
26,vZVb-9_jlxE,8.0,266,291933,33.125,1208788
27,w0qe-FvLQ7o,30.0,2850,1568164,95.015,18624888
28,W1XE-2SvPAg,29.0,17000,914544,567.24,64845785
29,W42D-ju3puU,25.0,5623,268115,224.88,7536733
30,waCs-diEecA,12.0,945,55970,78.76166500000001,551042
31,WA-z-bohIM8,12.0,7135,56530,594.615,4201721
32,WBBU-x5eMeM,29.0,93366,137092,3115.303,53385430
33,WBoR-fK_E0k,12.0,2211,53438,187.5,1252456
34,WCux-gTwens,25.0,1457,1942430,58.281666,14151011
35,WD4h-JNxgHM,12.0,1175,55889,97.941666,684235
36,wdOQ-2N57g4,30.0,20514,3532333,683.80334,301927715
37,wff-N_p6Skc,12.0,20365,55330,1715.025,11861675
38,whcA-7Rxv60,30.0,2546,319665,84.833,3389776
39,WhfE-lT7Ou8,16.0,2241,414786,140.0,7258761
40,Wjw-48DQkbw,29.0,1002,329801,33.399998,1376920
41,wk6c-GlEVJg,12.0,1537,49923,128.12666000000002,799573
42,wLeA-pW3sjM,12.0,2082,53830,175.12333999999998,1178379
43,Wlvn-CUQqWY,6.0704226,431,31337,71.837,281398
44,Wm-a-3430Po,30.0,2070,649878,68.966995,5602517
45,wmeV-bWuFME,15.027026999999999,3336,98092,222.433,2727378
46,wmKJ-1Rm5A0,29.0,2333,394191,77.809,3833958
47,W_mn-TCtcaY,30.0,2975,290025,99.13299599999999,3593888
48,Wm-r-P_rIJE,25.0,7252,275185,290.04,9976867
49,WoGb-PzcMJs,30.147058,1025,2970157,34.32,12741973
50,wpJ3-qchR68,25.0,7272,228717,290.84,8315026
51,WqJo-hmZLbI,30.0,2538,278837,84.56700000000001,2947560
52,wqmH-dTP9fg,30.0,2205,1038885,73.466995,9540470
53,WRDK-_UzpBA,28.925333000000002,10847,443723,375.173,20809130
54,WRLi-7tRf-U,25.137932,2916,510859,116.64,7448331
55,wSl_-UykyZc,29.0,7029,255759,234.50099999999998,7496974
56,wtke-dlqL-w,30.163636999999998,4977,35237,165.9,730736
57,-wUJ9b03AAA,29.0,4321,801176,146.94899999999998,14716515
58,WV9q-ZAi1wU,24.054188,4883,643052,203.59799999999998,16365514
59,WwOb-zIoMN4,29.0,10775,672028,359.49300000000005,30198678
60,WxdC-9L9s6g,25.0,3825,196726,153.0,3762398
61,WXH1-twGous,29.0,6834,2014607,228.04167,57426800
62,WxR8-oLg-fg,12.0,1802,57808,150.18666000000002,1085250
63,wyne-dpl4hc,29.0,12255,787319,408.875,40239411
64,wySa-PxOg_4,30.0,6238,419378,207.9,10898599
65,Wz9r-HbIXB8,6.0,942,11019,157.466,216898
66,WzBV-z2SkOQ,30.0,3240,961634,107.966995,12978099
67,WZHz-xVl8dA,30.173609999999996,4345,228359,144.92700000000002,4136935
68,X0Jk-WCWmgc,29.0,8065,2494855,269.11835,83926436
69,X_2U-wJ9EcM,12.0,3935,55335,330.09332,2283228
70,X52l-7Ixa5I,25.014814,33770,553480,1350.896,93461858
71,X6jx-Gqnk0s,29.0,2337,260074,77.945,2533935
72,x9fU-1cUIrE,12.0,2070,56691,172.52333000000002,1222585
73,x9kn-LtJlag,30.004815999999998,18693,1710012,623.193,133208478
74,xBI5-avHi9g,29.0,16968,234907,567.2167,16655425
75,Xb-s-8KU_rQ,25.0,4131,354301,165.2,7316332
76,XGLP-ygEPp4,30.0,2070,2971929,69.0,25632890
77,xHNv-zxBFUI,30.058956,13256,120755,441.866,6669744
78,XI47-psHwGE,25.153847,3924,394489,156.97,7740382
79,xkG_-a_voHA,15.0,885,287724,58.933,2119561
80,Xl07-xn-p1A,15.0,3049,1008291,203.2,25610592
81,xlDs-Yjgd7Y,20.0,961,315144,48.0,1890864
82,XlS4-t4fZGk,29.0,5400,274565,180.14700000000002,6182772
83,xNBa-ihxEaI,29.0,3685,2821213,122.955,43360290
84,xNIR-umARSA,12.0,3841,50824,320.11,2033669
85,xnTf-ehEy4g,25.005882,4251,525956,170.136,11185510
86,xnVL9Yaqz4o,25.25,1818,842175,72.803,7664109
87,xQ50-hPcmLo,15.0,1800,509955,120.10600000000001,7656093
88,xroq-lb2ppw,25.07732,4865,479792,194.952,11692070
89,xs7g-xFuwjw,29.0,5017,490810,169.079,10373224
90,xSjz-mj0XRc,29.0,16938,227860,566.165,16125832
91,XSok-q8c9Xo,12.0,3231,54863,269.76833999999997,1850054
92,_XSZ-jy21us,30.0,50477,671673,1682.5339999999999,141264106
93,xT_g3dVe-N4,24.0,19854,220799,827.209,22830964
94,XT-U-ZEF5ww,24.0,1650,423999,68.708,3641522
95,xU_b-Y1PlzE,25.0,6241,735501,249.6,22947631
96,XWwO-zh9rCk,29.0,9334,400066,311.413,15573231
97,Xxe6-fhQ0_Q,29.970940000000002,40221,1683705,1342.0929999999998,282461229
98,xY-6-d8fd9s,15.033557,2240,103237,149.334,1927113
99,xyV-rgzWjSw,25.0,2987,156504,119.488335,2337551
