x1;-0.45;-0.93;-0.90;0.58;2.56;-0.84;-0.01;0.55;1.34;-0.21;1.06;-0.27;0.11;0.02;2.07;1.04;0.46;1.04;-0.22;-2.18;1.74;0.90;0.83;8.86;8.63;-0.47;0.99;-0.86;-1.48;1.23;0.68;0.87;0.87;0.27;-0.84;-0.16;0.95;-1.73;0.71;-1.26;1.50;-1.57;0.31;0.58;-0.66;-0.18;-1.24;-0.04;0.13;0.52
y1;3.91;5.31;4.87;2.04;-2.43;5.12;2.95;1.57;0.30;3.29;-0.08;4.23;2.15;2.71;-2.66;0.27;1.83;1.36;3.52;7.10;-0.63;0.06;0.46;1.03;1.04;3.63;1.09;5.15;6.28;0.43;0.53;1.15;0.68;1.38;4.37;3.81;0.66;7.17;0.84;4.58;0.05;7.27;1.67;1.25;5.05;4.25;6.41;2.51;2.30;0.96
x2;0.73;-0.64;-2.24;2.07;0.47;1.87;-1.44;0.29;-1.39;0.40;0.06;0.36;-1.38;0.75;0.86;-2.08;0.51;-1.07;1.13;0.42;-1.07;1.14;-0.75;0.64;-0.38;0.17;0.80;1.01;-0.28;0.56;-0.68;1.56;-0.63;-0.66;-0.91;0.24;0.62;0.14;0.59;0.81;-1.01;0.08;-2.12;0.66;-0.39;0.11;-0.11;-0.52;-0.49;0.13
y2;3.24;0.85;0.16;12.74;2.65;11.16;0.41;2.25;0.39;2.42;1.80;2.51;0.39;3.52;3.82;0.20;2.86;0.61;5.06;2.47;0.56;5.19;0.78;3.22;1.11;1.98;3.64;4.60;1.25;2.94;0.83;8.44;0.88;0.86;0.65;2.05;3.03;1.88;2.91;3.95;0.60;1.91;0.19;3.10;1.06;1.98;1.47;1.03;1.00;1.9
x3;-0.56;0.15;-0.20;-3.21;0.53;-1.09;-1.15;-0.03;-1.60;-1.23;-0.11;1.22;-0.26;-0.44;2.06;-0.83;-0.31;-0.19;0.05;0.64;0.81;-0.43;-0.18;-0.84;6.68;7.91;9.84;8.22;6.16;7.38;5.92;5.75;6.99;4.84;6.25;8.17;7.60;7.69;8.92;6.39;6.83;6.80;8.14;5.09;0.34;-0.94;-1.01;-0.72;0.91;-0.04
y3;-0.87;-0.85;0.85;1.12;-1.27;0.02;-1.35;0.96;-0.82;-0.49;-1.13;-2.44;-1.13;0.82;-0.48;1.35;-0.63;0.00;0.17;0.93;0.45;0.85;0.14;-1.83;6.54;7.61;6.98;6.67;3.60;6.50;6.18;5.01;4.88;5.75;5.52;4.89;6.96;5.61;5.16;5.97;4.86;4.76;6.97;3.86;1.98;-0.68;-1.05;0.64;0.75;-0.85
x4;0.56;-1.22;-1.27;-0.88;1.74;0.87;-1.26;-1.28;-0.07;-0.16;0.11;-0.15;0.13;-0.27;-0.74;-0.35;0.75;-0.77;-0.72;0.21;0.61;0.02;-0.19;-1.22;-0.31;-1.83;-1.11;-0.92;0.34;-0.31;1.32;0.20;-0.08;0.68;-1.40;-0.75;1.17;1.59;-1.35;0.37;-0.55;0.81;0.21;0.27;-1.29;1.41;-0.06;1.76;-2.37;-0.15
y4;0.99;0.46;1.30;0.60;0.82;1.18;1.04;0.00;1.40;0.03;1.26;0.41;1.16;0.21;0.67;1.05;0.73;0.80;0.72;0.67;1.18;1.17;1.46;0.43;0.02;-0.11;0.41;0.86;1.55;0.64;1.19;1.07;0.98;0.67;0.94;0.72;0.97;1.75;0.75;0.99;0.58;1.30;0.67;0.91;0.92;0.60;0.49;1.06;0.34;0.29
x5;-0.03;-0.12;0.44;2.34;-1.46;-0.64;-0.07;0.49;-0.71;-0.53;-0.27;-6.02;-6.27;1.03;0.77;1.23;-0.14;-0.34;0.91;0.81;0.22;-0.14;-0.53;-0.27;1.04;-0.80;1.28;-0.04;0.52;0.80;0.12;-1.12;0.68;1.42;-2.14;-0.95;-0.13;-1.97;-3.05;0.74;0.71;1.05;1.56;-0.03;0.12;-0.98;0.11;0.24;0.02;-0.4
y5;0.64;-2.60;-0.22;-0.37;-0.03;-0.64;0.57;-0.18;-0.72;0.69;-0.46;8.29;8.32;0.80;0.43;-0.36;-0.54;0.66;-0.08;-0.85;0.46;0.05;0.37;0.36;-0.32;-1.73;1.01;-1.48;-0.96;1.17;-0.59;-1.44;-0.77;-1.11;-0.25;0.37;0.20;0.49;0.33;-0.70;0.01;1.89;0.13;1.46;-2.32;1.26;1.68;0.65;-0.24;-1.43
x6;0.77;-0.50;-0.48;0.23;0.17;-0.96;1.62;-2.12;0.86;1.27;-1.59;0.69;-0.77;0.35;0.80;-0.67;0.11;0.92;-0.11;0.09;-0.17;-0.25;0.96;-0.34;-1.62;-0.55;0.39;0.49;-2.10;0.14;0.96;-0.94;-0.14;-0.35;0.65;0.20;-1.03;0.48;-0.25;0.06;0.25;0.00;-2.92;1.31;0.79;-0.16;-0.04;0.43;-1.22;0.72
